system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
flying-saucer,flying-saucer_alma-martinien,images/flying-saucer/flying-saucer_alma-martinien.png,Martinien,2026,A&A (2026),EDP Sciences,hybrid,2604.11247,2026A&A...710A.140M,arxiv-preprint-figure,,not-needed
flying-saucer,flying-saucer_jwst-nirspec,images/flying-saucer/flying-saucer_jwst-nirspec.png,Dartois,2025,"A&A 705, L14",EDP Sciences,hybrid,2512.13503,2026A&A...705L..14D,arxiv-preprint-figure,,not-needed
flying-saucer,flying-saucer_isaac2003,images/flying-saucer/flying-saucer_isaac2003.png,Grosso,2003,"ApJ 586, 296",AAS/IOP,green-oa,astro-ph/0211570,2003ApJ...586..296G,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_reasons,images/fomalhaut/fomalhaut_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_alma2017,images/fomalhaut/fomalhaut_alma2017.png,MacGregor,2017,"ApJ 842, 8",AAS/IOP,green-oa,1705.05867,2017ApJ...842....8M,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_jwst2023,images/fomalhaut/fomalhaut_jwst2023.png,Gaspar,2023,"Nature Astronomy 7, 790",Springer Nature,restrictive,2305.03789,2023NatAs...7..790G,arxiv-preprint-figure,Y,not-needed
fomalhaut,fomalhaut_acs2005,images/fomalhaut/fomalhaut_acs2005.png,Kalas,2005,"Nature 435, 1067",Springer Nature,restrictive,astro-ph/0506574,2005Natur.435.1067K,arxiv-preprint-figure,Y,not-needed
fomalhaut,fomalhaut_acs2008,images/fomalhaut/fomalhaut_acs2008.png,Kalas,2008,"Science 322, 1345",AAAS,restrictive,0811.1994,2008Sci...322.1345K,arxiv-preprint-figure,Y,not-needed
fomalhaut,fomalhaut_jwst2023-f1550c,images/fomalhaut/fomalhaut_jwst2023-f1550c.png,Gaspar,2023,"Nature Astronomy 7, 790",Springer Nature,restrictive,2305.03789,2023NatAs...7..790G,arxiv-preprint-figure,Y,not-needed
fomalhaut,fomalhaut_jwst2023-f2300c,images/fomalhaut/fomalhaut_jwst2023-f2300c.png,Gaspar,2023,"Nature Astronomy 7, 790",Springer Nature,restrictive,2305.03789,2023NatAs...7..790G,arxiv-preprint-figure,Y,not-needed
fomalhaut,fomalhaut_stis2013,images/fomalhaut/fomalhaut_stis2013.png,Kalas,2013,ApJ,AAS/IOP,green-oa,1305.2222,2013ApJ...775...56K,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_herschel2012,images/fomalhaut/fomalhaut_herschel2012.png,Acke,2012,"A&A 540, A125",EDP Sciences,hybrid,1204.5037,2012A&A...540A.125A,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_sharcii2005,images/fomalhaut/fomalhaut_sharcii2005.png,Marsh,2005,"ApJL 620, L47",AAS/IOP,green-oa,astro-ph/0501140,2005ApJ...620L..47M,arxiv-preprint-figure,,not-needed
fomalhaut,fomalhaut_spitzer-mips,images/fomalhaut/fomalhaut_spitzer-mips.png,Stapelfeldt,2004,"ApJS 154, 458",AAS/IOP,green-oa,,2004ApJS..154..458S,publisher-pdf,,not-needed
fs-tau,fs-tau_hiciao-yang2020,images/fs-tau/fs-tau_hiciao-yang2020.png,Yang,2020,"ApJ 889, 140",AAS/IOP,green-oa,1912.11301,2020ApJ...889..140Y,arxiv-preprint-figure,,not-needed
ft-tau,ft-tau_taurus-long2018,images/ft-tau/ft-tau_taurus-long2018.png,Long,2018,"ApJ 869, 17",AAS/IOP,green-oa,1810.06044,2018ApJ...869...17L,arxiv-preprint-figure,,not-needed
fu-ori,fu-ori_gemini-lights,images/fu-ori/fu-ori_gemini-lights.png,Rich,2022,"AJ 164, 109",AAS/IOP,green-oa,2206.05815,2022AJ....164..109R,arxiv-preprint-figure,,not-needed
fu-ori,fu-ori_alma2020,images/fu-ori/fu-ori_alma2020.png,Perez,2020,ApJ,AAS/IOP,green-oa,1911.11282,2020ApJ...889...59P,arxiv-preprint-figure,,not-needed
fu-ori,fu-ori_hiciao2018,images/fu-ori/fu-ori_hiciao2018.png,Takami,2018,"ApJ 864, 20",AAS/IOP,green-oa,1807.03499,2018ApJ...864...20T,arxiv-preprint-figure,,not-needed
fu-ori,fu-ori_zurlo2024,images/fu-ori/fu-ori_zurlo2024.png,Zurlo,2024,"A&A 686, A309",EDP Sciences,hybrid,2403.12124,2024A&A...686A.309Z,arxiv-preprint-figure,,not-needed
fu-ori,fu-ori_sphere2022,images/fu-ori/fu-ori_sphere2022.png,Weber,2023,"MNRAS 518, 5620",OUP,hybrid,2211.14322,2023MNRAS.518.5620W,arxiv-preprint-figure,,not-needed
fw-tau,fw-tau_nirc2-2014,images/fw-tau/fw-tau_nirc2-2014.png,Kraus,2014,"ApJ 781, 20",AAS/IOP,green-oa,1311.7664,2014ApJ...781...20K,arxiv-preprint-figure,,not-needed
g023-01-00-41,g023-01-00-41_alma2019,images/g023-01-00-41/g023-01-00-41_alma2019.png,Sanna,2019,A&A,EDP Sciences,hybrid,1805.09842,2019A&A...623A..77S,arxiv-preprint-figure,,not-needed
g17-64-0-16,g17-64-0-16_alma2019,images/g17-64-0-16/g17-64-0-16_alma2019.png,Maud,2019,A&A,EDP Sciences,hybrid,1906.06548,2019A&A...627L...6M,arxiv-preprint-figure,,not-needed
gaia-dr2-5854897321965963264,gaia-dr2-5854897321965963264_destinys,images/gaia-dr2-5854897321965963264/gaia-dr2-5854897321965963264_destinys.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
gamma-oph,gamma-oph_mri_f2550w,images/gamma-oph/gamma-oph_mri_f2550w.png,Han,2026,"ApJ 1004, 182",AAS/IOP,green-oa,2601.15285,2026ApJ..1004..182H,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_sphere2020,images/gg-tau/gg-tau_sphere2020.png,Keppler,2020,"A&A 639, A62",EDP Sciences,hybrid,2005.09037,2020A&A...639A..62K,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_sphere-taurus,images/gg-tau/gg-tau_sphere-taurus.png,Garufi,2024,"A&A 685, A53",EDP Sciences,hybrid,2403.02158,2024A&A...685A..53G,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_cfht1996,images/gg-tau/gg-tau_cfht1996.png,Roddier,1996,"ApJ 463, 326",AAS/IOP,green-oa,,1996ApJ...463..326R,publisher-pdf,,not-needed
gg-tau,gg-tau_alma2020,images/gg-tau/gg-tau_alma2020.png,Phuong,2020,A&A,EDP Sciences,hybrid,2001.08147,2020A&A...635A..12P,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_wfpc2002,images/gg-tau/gg-tau_wfpc2002.png,Krist,2002,"ApJ 570, 785",AAS/IOP,green-oa,astro-ph/0201415,2002ApJ...570..785K,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_nicmos2002,images/gg-tau/gg-tau_nicmos2002.png,McCabe,2002,"ApJ 575, 974",AAS/IOP,green-oa,astro-ph/0204465,2002ApJ...575..974M,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_acs2005_v,images/gg-tau/gg-tau_acs2005_v.png,Krist,2005,"AJ 130, 2778",AAS/IOP,green-oa,astro-ph/0508222,2005AJ....130.2778K,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_acs2005_i,images/gg-tau/gg-tau_acs2005_i.png,Krist,2005,"AJ 130, 2778",AAS/IOP,green-oa,astro-ph/0508222,2005AJ....130.2778K,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_vla2014,images/gg-tau/gg-tau_vla2014.png,Andrews,2014,"ApJ 787, 148",AAS/IOP,green-oa,1404.5652,2014ApJ...787..148A,arxiv-preprint-figure,,not-needed
gg-tau,gg-tau_bima2000,images/gg-tau/gg-tau_bima2000.png,Looney,2000,"ApJ 529, 477",AAS/IOP,green-oa,astro-ph/9908301,2000ApJ...529..477L,arxiv-preprint-figure,,not-needed
gi-tau,gi-tau_sphere-taurus,images/gi-tau/gi-tau_sphere-taurus.png,Garufi,2024,"A&A 685, A53",EDP Sciences,hybrid,2403.02158,2024A&A...685A..53G,arxiv-preprint-figure,,not-needed
gi-tau,gi-tau_taurus-long2019,images/gi-tau/gi-tau_taurus-long2019.png,Long,2019,"ApJ 882, 49",AAS/IOP,green-oa,1906.10809,2019ApJ...882...49L,arxiv-preprint-figure,,not-needed
gj-14,gj-14_reasons,images/gj-14/gj-14_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
gj-504,gj-504_seeds2013,images/gj-504/gj-504_seeds2013.png,Kuzuhara,2013,"ApJ 774, 11",AAS/IOP,green-oa,1307.2886,2013ApJ...774...11K,arxiv-preprint-figure,,not-needed
gj-504,gj-504_sphere2018,images/gj-504/gj-504_sphere2018.png,Bonnefoy,2018,"A&A 618, A63",EDP Sciences,hybrid,1807.00657,2018A&A...618A..63B,arxiv-preprint-figure,,not-needed
gj-504,gj-504_lbti2016,images/gj-504/gj-504_lbti2016.png,Skemer,2016,The Astrophysical Journal,AAS/IOP,green-oa,1511.09183,2016ApJ...817..166S,arxiv-preprint-figure,,not-needed
gj-504,gj-504_mirico2025,images/gj-504/gj-504_mirico2025.png,Mâlin,2025,A&A,EDP Sciences,hybrid,2501.00104,2025A&A...693A.315M,arxiv-preprint-figure,,not-needed
gj-581,gj-581_herschel,images/gj-581/gj-581_herschel.png,Lestrade,2012,"A&A 548, A86",EDP Sciences,hybrid,1211.4898,2012A&A...548A..86L,arxiv-preprint-figure,,not-needed
gk-tau,gk-tau_taurus-long2019,images/gk-tau/gk-tau_taurus-long2019.png,Long,2019,"ApJ 882, 49",AAS/IOP,green-oa,1906.10809,2019ApJ...882...49L,arxiv-preprint-figure,,not-needed
gk-tau,gk-tau_sphere-taurus,images/gk-tau/gk-tau_sphere-taurus.png,Garufi,2024,"A&A 685, A53",EDP Sciences,hybrid,2403.02158,2024A&A...685A..53G,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_alma2020,images/gm-aur/gm-aur_alma2020.png,Huang,2020,"ApJ 891, 48",AAS/IOP,green-oa,2001.11040,2020ApJ...891...48H,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_sphere-taurus,images/gm-aur/gm-aur_sphere-taurus.png,Garufi,2024,"A&A 685, A53",EDP Sciences,hybrid,2403.02158,2024A&A...685A..53G,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_nicmos2003,images/gm-aur/gm-aur_nicmos2003.png,Schneider,2003,"AJ 125, 1467",AAS/IOP,green-oa,,2003AJ....125.1467S,publisher-pdf,,not-needed
gm-aur,gm-aur_seeds,images/gm-aur/gm-aur_seeds.png,Tamura,2016,"Proc. Japan Acad. Ser. B 92, 45",unknown,unknown,,2016PJAB...92...45T,publisher-pdf,,not-needed
gm-aur,gm-aur_alice-f110w,images/gm-aur/gm-aur_alice-f110w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
gm-aur,gm-aur_alma-maps2021,images/gm-aur/gm-aur_alma-maps2021.png,Oberg,2021,"ApJS, 257, 1",AAS/IOP,green-oa,2109.06268,2021ApJS..257....1O,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_sphere-ks-qphi,images/gm-aur/gm-aur_sphere-ks-qphi.png,Ren,2023,"A&A 680, A114",EDP Sciences,hybrid,2310.08589,2023A&A...680A.114R,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_pdbi2009,images/gm-aur/gm-aur_pdbi2009.png,Hughes,2009,"ApJ 698, 131",AAS/IOP,green-oa,0903.4455,2009ApJ...698..131H,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_sma2009,images/gm-aur/gm-aur_sma2009.png,Hughes,2009,"ApJ 698, 131",AAS/IOP,green-oa,0903.4455,2009ApJ...698..131H,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_acssbc_f140lp,images/gm-aur/gm-aur_acssbc_f140lp.png,Hornbeck,2016,ApJ,AAS/IOP,green-oa,1607.03520,2016ApJ...829...65H,arxiv-preprint-figure,,not-needed
gm-aur,gm-aur_bima2000,images/gm-aur/gm-aur_bima2000.png,Looney,2000,"ApJ 529, 477",AAS/IOP,green-oa,astro-ph/9908301,2000ApJ...529..477L,arxiv-preprint-figure,,not-needed
go-tau,go-tau_taurus-long2018,images/go-tau/go-tau_taurus-long2018.png,Long,2018,"ApJ 869, 17",AAS/IOP,green-oa,1810.06044,2018ApJ...869...17L,arxiv-preprint-figure,,not-needed
go-tau,go-tau_alice-f160w,images/go-tau/go-tau_alice-f160w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
gq-lup,gq-lup_naco2005,images/gq-lup/gq-lup_naco2005.png,Neuhauser,2005,"A&A 435, L13",EDP Sciences,hybrid,astro-ph/0503691,2005A&A...435L..13N,arxiv-preprint-figure,,not-needed
gq-lup,gq-lup_sphere2021,images/gq-lup/gq-lup_sphere2021.png,van Holstein,2021,A&A,EDP Sciences,hybrid,2101.04033,2021A&A...647A..21V,arxiv-preprint-figure,,not-needed
gq-lup,gq-lup_miri-mrs2024,images/gq-lup/gq-lup_miri-mrs2024.png,Cugno,2024,ApJL,AAS/IOP,green-oa,2404.07086,2024ApJ...966L..21C,arxiv-preprint-figure,,not-needed
gq-lup,gq-lup_alma2017,images/gq-lup/gq-lup_alma2017.png,MacGregor,2017,"ApJ 835, 17",AAS/IOP,green-oa,1611.06229,2017ApJ...835...17M,arxiv-preprint-figure,,not-needed
gsc-07396-00759,gsc-07396-00759_reasons,images/gsc-07396-00759/gsc-07396-00759_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
gsc-07396-00759,gsc-07396-00759_sphere-debris-2025,images/gsc-07396-00759/gsc-07396-00759_sphere-debris-2025.png,Engler,2025,"A&A 704, A21",EDP Sciences,hybrid,2512.03128,2025A&A...704A..21E,arxiv-preprint-figure,,not-needed
gsc-07396-00759,gsc-07396-00759_sphere-rdi-xie22,images/gsc-07396-00759/gsc-07396-00759_sphere-rdi-xie22.png,Xie,2022,"A&A 666, A32",EDP Sciences,hybrid,2208.07915,2022A&A...666A..32X,arxiv-preprint-figure,,not-needed
gsc-6214-210,gsc-6214-210_keck2011,images/gsc-6214-210/gsc-6214-210_keck2011.png,Ireland,2011,"ApJ 726, 113",AAS/IOP,green-oa,1011.2201,2011ApJ...726..113I,arxiv-preprint-figure,,not-needed
gsc-6214-210,gsc-6214-210_sphere2021,images/gsc-6214-210/gsc-6214-210_sphere2021.png,van Holstein,2021,A&A,EDP Sciences,hybrid,2101.04033,2021A&A...647A..21V,arxiv-preprint-figure,,not-needed
gss30-irs3,gss30-irs3_edisk,images/gss30-irs3/gss30-irs3_edisk.png,Ohashi,2023,"ApJ 951, 8",AAS/IOP,green-oa,2306.15406,2023ApJ...951....8O,arxiv-preprint-figure,,not-needed
gu-psc,gu-psc_discovery2014,images/gu-psc/gu-psc_discovery2014.png,Naud,2014,"ApJ 787, 5",AAS/IOP,green-oa,1405.2932,2014ApJ...787....5N,arxiv-preprint-figure,,not-needed
gw-lup,gw-lup_dsharp,images/gw-lup/gw-lup_dsharp.png,Andrews,2018,"ApJL 869, L41",AAS/IOP,green-oa,1812.04040,2018ApJ...869L..41A,arxiv-preprint-figure,,not-needed
gw-lup,gw-lup_sphere2021,images/gw-lup/gw-lup_sphere2021.png,Garufi,2021,Astronomy & Astrophysics,EDP Sciences,hybrid,2111.07856,2022A&A...658A.137G,arxiv-preprint-figure,,not-needed
gw-ori,gw-ori_gemini-lights,images/gw-ori/gw-ori_gemini-lights.png,Rich,2022,"AJ 164, 109",AAS/IOP,green-oa,2206.05815,2022AJ....164..109R,arxiv-preprint-figure,,not-needed
gw-ori,gw-ori_alma2020,images/gw-ori/gw-ori_alma2020.png,Bi,2020,ApJL,AAS/IOP,green-oa,2004.03135,2020ApJ...895L..18B,arxiv-preprint-figure,,not-needed
gw-ori,gw-ori_sphere2020,images/gw-ori/gw-ori_sphere2020.png,Kraus,2020,"Science 369, 1233",AAAS,restrictive,2004.01204,2020Sci...369.1233K,arxiv-preprint-figure,Y,not-needed
haro-1-1,haro-1-1_destinys,images/haro-1-1/haro-1-1_destinys.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
haro-6-13,haro-6-13_taurus-long2019,images/haro-6-13/haro-6-13_taurus-long2019.png,Long,2019,"ApJ 882, 49",AAS/IOP,green-oa,1906.10809,2019ApJ...882...49L,arxiv-preprint-figure,,not-needed
haro-6-5b,haro-6-5b_edgeon-alma2020-b4,images/haro-6-5b/haro-6-5b_edgeon-alma2020-b4.png,Villenave,2020,"A&A 642, A164",EDP Sciences,hybrid,2008.06518,2020A&A...642A.164V,arxiv-preprint-figure,,not-needed
haro-6-5b,haro-6-5b_edgeon-alma2020,images/haro-6-5b/haro-6-5b_edgeon-alma2020.png,Villenave,2020,"A&A 642, A164",EDP Sciences,hybrid,2008.06518,2020A&A...642A.164V,arxiv-preprint-figure,,not-needed
haro-6-5b,haro-6-5b_nicmos1999,images/haro-6-5b/haro-6-5b_nicmos1999.png,Padgett,1999,"AJ 117, 1490",AAS/IOP,green-oa,astro-ph/9902101,1999AJ....117.1490P,arxiv-preprint-figure,,not-needed
hbc-494,hbc-494_alma2023,images/hbc-494/hbc-494_alma2023.png,Nogueira,2023,MNRAS,OUP,hybrid,2305.15647,2023MNRAS.523.4970N,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_gemini-lights,images/hd-100453/hd-100453_gemini-lights.png,Rich,2022,"AJ 164, 109",AAS/IOP,green-oa,2206.05815,2022AJ....164..109R,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere2017,images/hd-100453/hd-100453_sphere2017.png,Benisty,2017,"A&A 597, A42",EDP Sciences,hybrid,1610.10089,2017A&A...597A..42B,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere-ks-rdi,images/hd-100453/hd-100453_sphere-ks-rdi.png,Ren,2023,"A&A 680, A114",EDP Sciences,hybrid,2310.08589,2023A&A...680A.114R,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_gravity2022-shadow,images/hd-100453/hd-100453_gravity2022-shadow.png,Bohn,2022,"A&A 658, A183",EDP Sciences,hybrid,2112.00123,2022A&A...658A.183B,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_alma2019,images/hd-100453/hd-100453_alma2019.png,van der Plas,2019,"A&A 624, A33",EDP Sciences,hybrid,1902.00720,2019A&A...624A..33V,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere-ks-qphi,images/hd-100453/hd-100453_sphere-ks-qphi.png,Ren,2023,"A&A 680, A114",EDP Sciences,hybrid,2310.08589,2023A&A...680A.114R,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere-rdi-xie22,images/hd-100453/hd-100453_sphere-rdi-xie22.png,Xie,2022,"A&A 666, A32",EDP Sciences,hybrid,2208.07915,2022A&A...666A..32X,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_magao2022,images/hd-100453/hd-100453_magao2022.png,Follette,2023,AJ,AAS/IOP,green-oa,2211.02109,2023AJ....165..225F,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_visir2021,images/hd-100453/hd-100453_visir2021.png,Petit dit de la Roche,2021,A&A,EDP Sciences,hybrid,2102.12506,2021A&A...648A..92P,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere-k1-wagner2015,images/hd-100453/hd-100453_sphere-k1-wagner2015.png,Wagner,2015,"ApJL 813, L2",AAS/IOP,green-oa,1510.02212,2015ApJ...813L...2W,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_sphere-k2-wagner2015,images/hd-100453/hd-100453_sphere-k2-wagner2015.png,Wagner,2015,"ApJL 813, L2",AAS/IOP,green-oa,1510.02212,2015ApJ...813L...2W,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_ifs-y-wagner2015,images/hd-100453/hd-100453_ifs-y-wagner2015.png,Wagner,2015,"ApJL 813, L2",AAS/IOP,green-oa,1510.02212,2015ApJ...813L...2W,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_ifs-j-wagner2015,images/hd-100453/hd-100453_ifs-j-wagner2015.png,Wagner,2015,"ApJL 813, L2",AAS/IOP,green-oa,1510.02212,2015ApJ...813L...2W,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_ifs-h-wagner2015,images/hd-100453/hd-100453_ifs-h-wagner2015.png,Wagner,2015,"ApJL 813, L2",AAS/IOP,green-oa,1510.02212,2015ApJ...813L...2W,arxiv-preprint-figure,,not-needed
hd-100453,hd-100453_naco-chen2006,images/hd-100453/hd-100453_naco-chen2006.png,Chen,2006,"A&A 445, 331",EDP Sciences,hybrid,,2006A&A...445..331C,publisher-pdf,,not-needed
hd-100546,hd-100546_gemini-lights,images/hd-100546/hd-100546_gemini-lights.png,Rich,2022,"AJ 164, 109",AAS/IOP,green-oa,2206.05815,2022AJ....164..109R,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_alma2014,images/hd-100546/hd-100546_alma2014.png,Walsh,2014,"ApJL 791, L6",AAS/IOP,green-oa,1405.6542,2014ApJ...791L...6W,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_acs2007,images/hd-100546/hd-100546_acs2007.png,Ardila,2007,"ApJ 665, 512",AAS/IOP,green-oa,,2007ApJ...665..512A,publisher-pdf,,not-needed
hd-100546,hd-100546_gpies,images/hd-100546/hd-100546_gpies.png,Esposito,2020,"AJ 160, 24",AAS/IOP,green-oa,2004.13722,2020AJ....160...24E,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_sphere-ks-rdi,images/hd-100546/hd-100546_sphere-ks-rdi.png,Ren,2023,"A&A 680, A114",EDP Sciences,hybrid,2310.08589,2023A&A...680A.114R,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_nicmos2001,images/hd-100546/hd-100546_nicmos2001.png,Augereau,2001,"A&A 365, 78",EDP Sciences,hybrid,astro-ph/0009496,2001A&A...365...78A,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_naco-pippin,images/hd-100546/hd-100546_naco-pippin.png,de Regt,2024,"A&A 684, A73",EDP Sciences,hybrid,2404.02222,2024A&A...684A..73D,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_alice-f110w,images/hd-100546/hd-100546_alice-f110w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
hd-100546,hd-100546_alma2020,images/hd-100546/hd-100546_alma2020.png,Perez,2020,"ApJL 889, L24",AAS/IOP,green-oa,1906.06305,2020ApJ...889L..24P,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_sphere-ks-qphi,images/hd-100546/hd-100546_sphere-ks-qphi.png,Ren,2023,"A&A 680, A114",EDP Sciences,hybrid,2310.08589,2023A&A...680A.114R,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_sphere-rdi-xie22,images/hd-100546/hd-100546_sphere-rdi-xie22.png,Xie,2022,"A&A 666, A32",EDP Sciences,hybrid,2208.07915,2022A&A...666A..32X,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_mirac2003,images/hd-100546/hd-100546_mirac2003.png,"Liu, W. M.",2003,The Astrophysical Journal Letters,AAS/IOP,green-oa,astro-ph/0310564,2003ApJ...598L.111L,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_atca2015,images/hd-100546/hd-100546_atca2015.png,Wright,2015,"MNRAS 453, 414",OUP,hybrid,1506.01147,2015MNRAS.453..414W,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_visir2021,images/hd-100546/hd-100546_visir2021.png,Petit dit de la Roche,2021,A&A,EDP Sciences,hybrid,2102.12506,2021A&A...648A..92P,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_eris2025,images/hd-100546/hd-100546_eris2025.png,Maio,2025,Astronomy & Astrophysics,EDP Sciences,hybrid,2504.19810,2025A&A...698A..52M,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_nici2014,images/hd-100546/hd-100546_nici2014.png,Currie,2014,"ApJL 796, L30",AAS/IOP,green-oa,1411.0315,2014ApJ...796L..30C,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_gpi-currie2015,images/hd-100546/hd-100546_gpi-currie2015.png,Currie,2015,"ApJL 814, L27",AAS/IOP,green-oa,1511.02526,2015ApJ...814L..27C,arxiv-preprint-figure,,not-needed
hd-100546,hd-100546_stis-grady2005,images/hd-100546/hd-100546_stis-grady2005.png,Grady,2005,"ApJ 630, 958",AAS/IOP,green-oa,,2005ApJ...630..958G,publisher-pdf,,not-needed
hd-100546,hd-100546_nicmos-go11155-1um,images/hd-100546/hd-100546_nicmos-go11155-1um.png,Perrin,2009,AAS Meeting 213 (poster),AAS (abstract),green-oa,,2009AAS...21340903P,publisher-pdf,,not-needed
hd-100546,hd-100546_nicmos-go11155-pol2um,images/hd-100546/hd-100546_nicmos-go11155-pol2um.png,Perrin,2009,AAS Meeting 213 (poster),AAS (abstract),green-oa,,2009AAS...21340903P,publisher-pdf,,not-needed
hd-100546,hd-100546_stis-grady2001,images/hd-100546/hd-100546_stis-grady2001.png,Grady,2001,"AJ 122, 3396",AAS/IOP,green-oa,,2001AJ....122.3396G,publisher-pdf,,not-needed
hd-100546,hd-100546_magao-follette2017,images/hd-100546/hd-100546_magao-follette2017.png,Follette,2017,"AJ 153, 264",AAS/IOP,green-oa,1704.06260,2017AJ....153..264F,arxiv-preprint-figure,,not-needed
hd-101584,hd-101584_alma_co21,images/hd-101584/hd-101584_alma_co21.png,Olofsson,2019,A&A,EDP Sciences,hybrid,1902.02153,2019A&A...623A.153O,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_reasons,images/hd-104860/hd-104860_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_nicmos-ren2023,images/hd-104860/hd-104860_nicmos-ren2023.png,Ren,2023,"A&A 672, A114",EDP Sciences,hybrid,2302.04273,2023A&A...672A.114R,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_stis-ren,images/hd-104860/hd-104860_stis-ren.png,Ren,2023,"A&A 672, A114",EDP Sciences,hybrid,2302.04273,2023A&A...672A.114R,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_nicmos-choquet18,images/hd-104860/hd-104860_nicmos-choquet18.png,Choquet,2018,"ApJ 854, 53",AAS/IOP,green-oa,1801.05424,2018ApJ...854...53C,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_carma2015,images/hd-104860/hd-104860_carma2015.png,Steele,2015,"ApJ 816, 27 (2016)",AAS/IOP,green-oa,1510.08890,2016ApJ...816...27S,arxiv-preprint-figure,,not-needed
hd-104860,hd-104860_herschel-pacs,images/hd-104860/hd-104860_herschel-pacs.png,Morales,2013,"ApJ 776, 111",AAS/IOP,green-oa,,2013ApJ...776..111M,publisher-pdf,,not-needed
hd-105,hd-105_reasons,images/hd-105/hd-105_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
